firstname,lastname,birthdate,gender,luckynumber,gmail,wall,Name,city,state,address,areacode,number,Category,url,Profile,Date
Elijah,Vasquezzi,03/28/2001,2,9118,JacobVesperton9540@gmail.com,,MGA Crisis Support,,,1910 E Thomas Rd #102 Phoenix AZ,,(949) 432-4068,Health Counselor,,in progress,
Evelyn,Vandoren,10/13/1987,2,6276,JacobVesperton9540@gmail.com,,Silver Coast Institute,,,882 888 Freeway Dr N #22A Columbus OH,,(949) 438-2077,Health Counselor,,in progress,
James,Voltarin,04/12/2004,1,4156,JacobVesperton9540@gmail.com,,Mooresville Support and Resource,,,500 S Main St #12Mooresville NC,,(949) 309-3690,Health Counselor,,in progress,
Abigail,Valestra,02/26/1991,2,5504,GraceFalconridge7492@gmail.com,,Seaside Detox Information,,,21 Church St Rockville MD,,(949) 309-3677,Mental Health Service,,,
Benjamin,Forsetti,10/23/1996,1,2695,DanielVarethorn3681@gmail.com,,Turtleridge Healing Wellness,,,103 Ardis St Summerville SC,,(908) 448-2218,Health Counselor,,,
Emily,Valandri,05/04/1988,2,7232,LilyValencrest9631@gmail.com,,Sunset Detox Lexington,,,20 Biesecker Rd Lexington NC,,(484) 229-4282,Wellness Center,,,
Alexander,Valandri,02/23/1995,2,2744,MatthewThornfeld1204@gmail.com,,Unity Behavioral,,,6747 Dry Fork Rd Cleves OH,,(484) 214-1889,Health Counselor,,,
Ella,Wexleron,04/10/2001,2,9407,ChloeVexmore1862@gmail.com,,Veterans Detox Support Information,,,1011 Main St Klamath Falls OR,,(949) 335-5687,Health Counselor,,,
Scarlett,Bramwell,05/15/2000,1,1443,,,Walkers Wellness,,,1001 Lincoln Blvd Middlesex NJ,,(571) 297-2771,Wellness Center,,,
Jacob,Vesperton,07/08/1994,1,9540,,,Detox Resource and Assistance,,,11251 Coloma Rd Gold River CA,,(949) 994-6701,Wellness Center,,,
Grace,Falconridge,11/22/2005,1,7492,,,Drug Detox Grand Rapids,,,655 E University Dr Mesa AZ,,(949) 996-5768,Counselor,,,
Daniel,Varethorn,12/03/1992,2,3681,,,Drug Detox San Jose,,,801 Pine St Seattle WA,,(971) 358-7773,Counselor,,,
Lily,Valencrest,10/20/2000,2,9631,,,Aurora Serenity Detox Milwaukee,,,1258 Remount Rd North Charleston SC,,(971) 442-9351,Health Counselor,,,
Matthew,Thornfeld,12/20/2002,2,1204,,,B.O.H. Detox Assistance Athens,,,655 Meeting St Charleston SC,,(908) 315-3740,Health Counselor,,,
Chloe,Vexmore,06/13/2004,1,1862,,,Blue Oceans Behavioral,,,44 Stockman St West Orange NJ,,(908) 333-4440,Health Counselor,,,
Henry,Hollifield,03/20/1998,2,9228,,,Sisters Detox Support and Resource,,,141 W Main Ave Sisters OR,,(518) 557-8536,Health Counselor,,,
Madison,Valecrest,04/24/1995,1,7669,,,Cobb Wellness,,,2436 US Highway 41 Schererville IN,,(337) 210-9366,Mental Health Service,,,
William,Lunarktis,12/11/2003,2,1225,,,Elements Detox Fountain Inn,,,250 Wilson Bridge Rd Fountain Inn SC,,(949) 522-9437,Health Counselor,,,
Aria,Valencrest,10/16/1985,2,8058,,,Drug Detox Wichita OH,,,220 Eastview Dr Brooklyn Heights OH,,(949) 522-4312,Wellness Center,,,
